Altium Designer Pick and Place Locations
C:\Users\Public\Documents\Altium\Projects\sika_UI\Project Outputs for sika_UI\Pick Place\Pick Place for sika_UI.txt

========================================================================================================================
File Design Information:

Date:       08-02-20
Time:       21:35
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

Designator Layer       Center-X(mil) Center-Y(mil) Rotation 
U1         BottomLayer 2162.463      1707.401      180      
R14        BottomLayer 2301.129      1703.881      270      
S7         BottomLayer 335.140       3551.181      360      
S6         BottomLayer -98.425       3551.181      360      
J24        TopLayer    5279.370      1938.583      360      
C10        BottomLayer 2550.000      1680.000      90       
R20        BottomLayer 2425.000      1680.000      270      
C9         BottomLayer 2490.000      1680.000      90       
C4         BottomLayer 1935.000      1680.000      90       
C3         BottomLayer 2040.000      1680.000      90       
C2         BottomLayer 1845.000      1715.000      360      
C1         BottomLayer 1730.000      1665.000      90       
R13        BottomLayer 4635.000      2105.000      270      
R12        BottomLayer 3790.000      2105.800      270      
R11        BottomLayer 4215.000      2105.000      270      
R10        BottomLayer 3172.703      2085.000      180      
R9         BottomLayer -100.118      708.661       270      
R8         BottomLayer 480.591       708.661       270      
R7         BottomLayer 1086.465      682.000       360      
R6         BottomLayer 1651.850      708.661       270      
R5         BottomLayer 2242.402      708.661       270      
R4         BottomLayer 2827.047      708.662       270      
D9         TopLayer    27.560        698.819       0        
D8         TopLayer    608.268       698.819       0        
D7         TopLayer    1198.817      698.819       0        
D6         TopLayer    1779.528      698.819       0        
D5         TopLayer    2370.079      698.819       0        
D4         TopLayer    2954.724      698.819       0        
S1         BottomLayer 1202.272      3551.181      360      
S2         BottomLayer 768.706       3551.181      360      
J35        BottomLayer -102.362      2710.630      360      
J32        BottomLayer -102.362      3169.291      360      
S9         TopLayer    5410.787      2705.000      90       
J26        TopLayer    50.433        1946.457      180      
J25        TopLayer    50.433        1188.583      180      
J23        TopLayer    5279.370      1180.709      360      
J19        TopLayer    2401.576      3137.796      180      
J17        TopLayer    1874.017      3137.796      180      
J13        TopLayer    3381.891      3137.796      180      
J11        TopLayer    3909.450      3137.796      180      
J21        TopLayer    2854.332      3137.796      180      
J20        TopLayer    2401.576      2683.071      180      
J18        TopLayer    1874.017      2683.071      180      
J14        TopLayer    3381.891      2683.071      180      
J12        TopLayer    3909.450      2683.071      180      
J22        TopLayer    2854.332      2683.071      180      
J9         TopLayer    893.701       3137.796      180      
J7         TopLayer    440.945       3137.796      180      
J5         TopLayer    4437.010      3137.796      180      
J3         TopLayer    4889.766      3137.796      180      
